brand,name,old_price,new_price,ml,concentration,item_rating,seller,seller_rating,num_seller_ratings
Amazing Creation,Mon Orintal Perfume 100ml,"AED, ,116.00","AED, ,104.95, ",wrangle from name,wrangle from name,,noon,4,7.7K
Calvin Klein,Euphoria EDP 160ml,"AED, ,255.00","AED, ,228.65, ",wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
HOUBIGANT,Quelques Fleurs Original EDP 100ml,397.00,251.85,wrangle from name,wrangle from name,,noon,4,7.7K
CARTIER,Cartier Carat EDP 100ml,"AED, ,520.00","AED, ,219.85, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
ELIE SAAB,Nuit Noor EDP 90ml,"AED, ,242.00, ",,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Yves Saint Laurent,Trench EDP 125ml,"AED, ,725.00, ",,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
COACH,New York Coach Dreams EDP 90ml,"AED, ,173.95, ",,wrangle from name,wrangle from name,,noon,4,7.7K
GIORGIO ARMANI,Prive Oud Royale EDP 100ml,"AED, ,1230.00","AED, ,740.25, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Roberto Cavalli,Roberto Cavalli EDP 75ml,"AED, ,215.00","AED, ,129.50, ",wrangle from name,wrangle from name,,branded perfume,3.3,394
Lattafa,Khalis Pure Oudi EDP 100ml,"AED, ,39.00","AED, ,25.90, ",wrangle from name,wrangle from name,,umeema,3,105
TOM FORD,Black Orchid EDP 50ml,499.00,301.55,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Costume National,Costume National EDP 100ml,243.75,,wrangle from name,wrangle from name,,noon,4,48.9K
PACO RABANNE,Lady Million Prive EDP 80ml,384.00,177.15,wrangle from name,wrangle from name,,noon,4,7.7K
Roberto Cavalli,Roberto Cavalli EDP 75ml,"AED, ,329.00","AED, ,125.60, ",wrangle from name,wrangle from name,,branded perfume,3.3,394
LALIQUE,Perles EDP 100ml,"AED, ,218.00","AED, ,111.25, ",wrangle from name,wrangle from name,,noon,4,7.7K
Franck Olivier,Oud Touch EDP 100ml,122.22,57.85,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
PACO RABANNE,Pure XS Night EDP 100ml,398.00,218.25,wrangle from name,wrangle from name,,PERFUMES GALLERY,3.3,81
STELLA MCCARTNEY,Stella EDP 100ml,440.00,208.00,wrangle from name,wrangle from name,,Fragrance House,3.5,246
D'Martha,Isabella EDP 30ml,"AED, ,45.00, ",,wrangle from name,wrangle from name,,Glazed Fashion,3.5,259
MONACO,Warm Spicy EDP 75ml,"AED, ,1499.00","AED, ,487.50, ",wrangle from name,wrangle from name,,MG.Store,3,2.3K
NARCISO RODRIGUEZ,Narciso Rodriguez For Him EDP 100ml,190.00,176.45,wrangle from name,wrangle from name,,noon,4,7.7K
Rosendo Mateu,N°5 EDP 100ml,"AED, ,858.35, ",,wrangle from name,wrangle from name,,branded perfume,3.3,394
SWISS ARABIAN,Sehr Al Sheila EDP 100ml,265.00,,wrangle from name,wrangle from name,,Swiss Arabian Perfumes,4.3,76
PRIVE,Seno EDP 100ml,106.00,29.30,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Estee Lauder,Aliage Sport EDP 50ml,349.00,185.00,wrangle from name,wrangle from name,,branded perfume,3.3,394
Lattafa,Mahasin Crystal EDP 100ml,39.00,30.90,wrangle from name,wrangle from name,,noon,4,7.7K
SWISS ARABIAN,Florence EDP 100ml,228.00,190.00,wrangle from name,wrangle from name,,Swiss Arabian Perfumes,4.3,76
THE WOODS COLLECTION,Timeless Sands EDP 100ml,490.00,145.80,wrangle from name,wrangle from name,,Fragrance House,3.5,246
KORLOFF,Royal Oud EDP 88ml,141.00,130.20,wrangle from name,wrangle from name,,branded perfume,3.3,394
Brown,Orchid EDP 80ml,"AED, ,26.70, ",,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
LANVIN,Eclat D'Arpege EDP 100ml,334.88,133.00,wrangle from name,wrangle from name,,Glazed Fashion,3.5,259
Lattafa,Raghba EDP 100ml,32.00,,wrangle from name,wrangle from name,,DJperfumes,3.5,1.7K
Michael Kors,Glam Ruby EDP 50ml,202.15,112.40,wrangle from name,wrangle from name,,branded perfume,3.3,394
Elizabeth Arden,5th Avenue Royale EDP 125ml,148.78,72.95,wrangle from name,wrangle from name,,noon,4,7.7K
MONTBLANC,Explorer Miniture EDP 4.5ml,35.20,15.15,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Calvin Klein,Secret Obsession EDP 100ml,"AED, ,70.50","AED, ,63.45, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Tiziana Terenzi,Eclix EDP 100ml,437.00,357.00,wrangle from name,wrangle from name,,Fragrance House,3.5,246
Mancera,Wind Wood EDP 120ml,"AED, ,276.00, ",,wrangle from name,wrangle from name,,branded perfume,3.3,394
JAGUAR,Signature Of Excellence EDP 100ml,"AED, ,129.00","AED, ,54.55, ",wrangle from name,wrangle from name,,noon,4,7.7K
